,축제명,시도명,시군구명,법정동 코드,법정동 이름,도로명주소 코드,도로명주소,zip_cd,위도,경도,축제일,연,월,일,방문객수
239,수정숯골축제,경기도,성남시 수정구,4113110200,태평동,4.11E+11,경기도 성남시 수정구 수정로 233 (태평동),13282,37.44608464,127.1441445,20191001,2019,10,1,17112
240,벌터산 축제,경기도,성남시 수정구,4113110300,수진동,4.11E+11,경기도 성남시 수정구 산성대로 41,13315,37.4358321,127.1254889,20190401,2019,4,1,28225
347,2019 연천 구석기 겨울축제,경기도,연천군,4180025321,전곡읍,4.18E+11,경기도 연천군 전곡읍 양연로 1510,11027,38.01564928,127.0614528,20190113,2019,1,13,7228
388,햇사레장호원복숭아축제,경기도,이천시,4150025021,장호원읍,4.15E+11,경기도 이천시 장호원읍 서동대로8759번길 117,17421,37.11809864,127.6121816,20190920,2019,9,20,8672
391,설봉산별빛축제,경기도,이천시,4150010200,관고동,4.15E+11,경기도 이천시 경충대로2697번길 304 (관고동),17379,37.27792699,127.425921,20190713,2019,7,13,6129
392,체험문화축제,경기도,이천시,4150010200,관고동,4.15E+11,경기도 이천시 경충대로2697번길 306 (관고동),17379,37.27793778,127.4269268,20190525,2019,5,25,25936
393,이천백사산수유꽃축제,경기도,이천시,4150032023,백사면,4.15E+11,경기도 이천시 백사면 원적로775번길 17,17309,37.34077593,127.4622972,20190329,2019,3,29,12256
549,코로나로 미정(감악문화축제),경기도,양주시,4163032021,남면,4.16E+11,경기도 양주시 남면 감악산로244번길 169,11404,37.89321812,126.9745793,20190908,2019,9,8,28540
550,코로나로 미정(2020 양주 천만송이 천일홍 축제),경기도,양주시,4163010600,광사동,4.16E+11,경기도 양주시 광사로 131-66 (광사동),11494,37.785795,127.081833,20190921,2019,9,21,6592
567,2019 수원독서문화축제,경기도,수원시 팔달구,4111513100,장안동,4.11E+11,경기도 수원시 팔달구 신풍로 74 (장안동),16252,37.287537,127.0135776,20191012,2019,10,12,2249
568,2019 수원연극축제,경기도,수원시 권선구,4111313100,서둔동,4.11E+11,경기도 수원시 권선구 서둔로 166 (서둔동),16614,37.2667769,126.9850191,20190524,2019,5,24,9664
570,제56회 수원화성문화제,경기도,수원시 팔달구,4111512300,남창동,4.11E+11,경기도 수원시 팔달구 행궁로 11,16261,37.2809881,127.0152227,20191003,2019,10,3,22972
571,2019 수원등불축제,경기도,수원시 팔달구,4111512800,매향동,4.11E+11,경기도 수원시 팔달구 수원천로392번길 44-6 (매향동),16254,37.28754,127.018085,20191003,2019,10,3,23193
574,2019 음식 문화축제,경기도,수원시 팔달구,4111512300,남창동,4.11E+11,경기도 수원시 팔달구 정조로 825 (남창동),16258,37.281882,127.014393,20191003,2019,10,3,12987
594,왕방산 국제MTB대회,경기도,동두천시,4125010300,생연동,4.13E+11,경기도 동두천시 어등로 45 (생연동),11320,37.90083977,127.0704987,20191020,2019,10,20,13751
595,2019 제4회 이담농악두드림대축제,경기도,동두천시,4125010300,생연동,4.13E+11,경기도 동두천시 중앙로 268 (생연동),11329,37.90543939,127.0546796,20190615,2019,6,15,4815
596,제4회 동두천 국제 트레일러닝 대회,경기도,동두천시,4125010300,생연동,4.13E+11,경기도 동두천시 어등로 45 (생연동),11320,37.90083977,127.0704987,20190420,2019,4,20,19984
627,2019 안성맞춤 남사당 바우덕이축제,경기도,안성시,4155031033,보개면,4.16E+11,경기도 안성시 보개면 남사당로 198,17508,37.03286724,127.3078041,20191002,2019,10,2,16742
717,의왕철도축제,경기도,의왕시,4143011000,월암동,4.14E+11,경기도 의왕시 왕송못동로 307 (월암동),16107,37.30712099,126.9531474,20190504,2019,5,4,20258
718,의왕백운예술제,경기도,의왕시,4143010600,학의동,4.14E+11,경기도 의왕시 백운로 526 (학의동),16012,37.38321292,127.0007588,20190921,2019,9,21,25809
733,2019 보정역생활문화센터 <청춘파티  - 특별프로그램>,경기도,용인시 기흥구,4146311800,보정동,4.15E+11,경기도 용인시 기흥구 용구대로 2585 (보정동),16905,37.31629272,127.1081614,20191213,2019,12,13,7880
754,2019 안양충훈벚꽃축제,경기도,안양시 만안구,4117110200,석수동,4.12E+11,경기도 안양시 만안구 석수로 159 (석수동),13975,37.40461526,126.8961574,20190405,2019,4,5,17070
755,2019 안양여성축제,경기도,안양시 동안구,4117310300,평촌동,4.12E+11,경기도 안양시 동안구 관평로 149 (평촌동),14067,37.39013727,126.9613302,20190518,2019,5,18,27283
756,2019 광복기념음악회,경기도,안양시 만안구,4117110100,안양동,4.12E+11,경기도 안양시 만안구 병목안로 215 (안양동),14023,37.38528888,126.9076745,20190815,2019,8,15,20712
757,2019 안양 시민축제,경기도,안양시 동안구,4117310300,평촌동,4.12E+11,경기도 안양시 동안구 관평로 149 (평촌동),14067,37.39013727,126.9613302,20190920,2019,9,20,21957
843,제7회 목감천 친환경 축제,경기도,광명시,4121010100,광명동,4.12E+11,경기도 광명시 광명로791번길 6 (광명동),14295,37.4710361,126.8486332,20190525,2019,5,25,5197
844,평생학습도시 선언 20주년 컨퍼런스,경기도,광명시,4121010200,철산동,4.12E+11,경기도 광명시 오리로854번길 10,14240,37.4743772,126.8684796,20191101,2019,11,1,14974
853,자라섬 국제재즈페스티벌,경기도,가평군,4182025022,가평읍,4.18E+11,경기도 가평군 가평읍 자라섬로 60,12421,37.8209476,127.5208644,20191004,2019,10,4,15900
887,2019 군포철쭉축제,경기도,군포시,4141010400,산본동,4.14E+11,경기도 군포시 고산로 599 (산본동),15820,37.3548052,126.9225521,20190424,2019,4,24,9818
