,축제명,시도명,시군구명,법정동 코드,법정동 이름,도로명주소 코드,도로명주소,zip_cd,위도,경도,축제일,연,월,일,방문객수
353,휴애리 수국축제,제주특별자치도,서귀포시,5013025329,남원읍,5.01E+11,제주특별자치도 서귀포시 남원읍 신례동로 256,63608,33.30853467,126.6343826,20200320,2020,3,20,29941
354,제주허브동산 수국축제,제주특별자치도,서귀포시,5013032021,표선면,5.01E+11,제주특별자치도 서귀포시 표선면 돈오름로 170,63628,33.32912371,126.8147248,20200610,2020,6,10,7075
355,마노르블랑 유럽수국축제,제주특별자치도,서귀포시,5013031026,안덕면,5.01E+11,제주특별자치도 서귀포시 안덕면 일주서로2100번길 46,63527,33.25482247,126.2949865,20200525,2020,5,25,10383
356,2020 제주식품대전,제주특별자치도,서귀포시,5013011200,중문동,5.01E+11,제주특별자치도 서귀포시 중문관광로 224 (중문동),63547,33.24129026,126.4244423,20200716,2020,7,16,24218
349,알리사 리턴 투 원더랜드,제주특별자치도,제주시,5011025326,애월읍,5.01E+11,제주특별자치도 제주시 애월읍 애월해안로 516-7,63047,33.47767128,126.3600019,20191103,2019,11,3,26201
350,알리사 리턴 투 원더랜드,제주특별자치도,제주시,5011025326,애월읍,5.01E+11,제주특별자치도 제주시 애월읍 애월해안로 516-7,63047,33.47767128,126.3600019,20191103,2019,11,3,6421
